district_name_en,2014,2015,2016
Ad Dar Al Baida,17666,17590,17950
Adh Dhubbat,32000,27571,29900
Al Andalus,22679,20541,24816
Al Aqiq,46500,47871,47136
Al Aziziyah,25750,24987,22144
Al Badi'ah,15979,16722,13236
Al Bariah,10230,9050,7400
Al Fayha,26000,26650,22756
Al Fakhiriyah,24500,25000,19000
Al Falah,40500,39572,34555
Al Faruq,25000,21000,17000
Al Ghadir,56000,56694,54233
Al Hada,30540,27403,25435
Al Hamra,37000,37853,30514
Al Hazm,26875,27121,23359
Al Iskan,12000,16500,13250
Al Izdihar,35009,33666,28353
Al Jazirah,25000,28230,26478
Al Khalidiyah,16083,17500,14666
Al Khaleej,19500,23000,22468
Al Khuzama,41004,42400,36608
Al Mathar Ash Shamali,34897,36500,33294
Al Mahdiyah,21876,20653,17245
Al Maizilah,24000,21700,21351
Al Malaz,28619,26895,18250
Al Malqa,49521,43000,44042
Al Manar,34177,34636,23718
Al Mansurah,24039,23533,18545
Al Marwah,16149,16214,11084
Al Masif,45051,48809,43293
Al Mughrizat,44500,37055,30062
Al Muhammadiyah,43821,42500,35142
Al Murabba,29647,30409,25885
Al Mursalat,35000,35000,31272
Al Muruj,48648,48122,49173
Al Mutamarat,30654,35432,32567
Al Qadisiyah,21473,21359,21587
Al Quds,41000,37850,35549
Al Olaya,35000,35714,34960
Al Uraija,24507,25983,16031
Al Wadi,42500,45386,44347
Al Wahah,56463,55900,54027
Al Wazarat,36459,37428,29490
Al Wisham,26000,25600,22800
Al Wurud,32324,33500,25148
Al Yamamah,12695,13160,9231
Al Yarmuk,41000,42811,38191
Al Yasmin,47833,45816,42173
An Nada,41502,40625,35380
An Nafal,35000,31818,27856
An Nahdah,33666,34196,28448
An Nakhil,58000,56277,52085
An Narjis,34250,37560,31148
An Nasim,25000,24000,19626
An Nadhim,18265,18263,15267
An Nuzhah,32434,32772,26096
Ar Rabi,55000,53891,52740
Ar Rabwah,35534,37155,30913
Ar Rafiah,30437,27943,21450
Ar Rahmaniyah,44875,32770,20666
Ar Raid,44572,44973,39171
Ar Rawabi,29022,28146,27625
Ar Rawdah,25792,26413,20170
Ar Rayyan,30083,31291,28875
As Saadah,22979,23679,17279
As Safa,29400,34000,23800
As Sahafah,40418,42327,40509
As Salam,28250,24726,18589
As Sulai,13357,12000,8714
As Sulimaniyah,45000,42195,36843
As Suwaidi,26500,22156,19304
Ash Shifa,20000,19833,15619
At Taawun,44979,46857,32101
Az Zahrah,20000,18000,16263
Badr,20000,19395,17695
Hittin,60000,58700,58300
Dhahrat Laban,29925,27032,22056
Alawali,26000,27723,21658
Dirab,15750,13857,9000
Ghirnatah,45666,44365,38861
Ulaishah,20586,18591,12582
Irqah,30000,27258,25300
Ishbiliyah,31625,29107,23952
Khashm Al An,14500,14000,8000
King Abdul Aziz,25000,24811,18875
King Abdullah,36596,37666,34526
King Fahd,39125,37433,28714
King Faisal,26723,21539,20877
King Saud University,40998,38000,35000
Laban,23257,25125,21390
Namar,23333,23000,18214
Qurtubah,45666,43938,38841
Salah Ad Din,42300,44800,40966
Shubra,19670,18250,13090
Sultanah,19800,20988,15400
Tuwaiq,32409,35321,26000
Uhud,15367,15581,11153
Umm Al Hamam Al Gharbi,34000,33180,24790
Ukaz,16532,16000,12065
Utaiqah,12010,11141,6879
