district_name_en,Total_offers
Ad Dar Al Baida,219
Adh Dhubbat,38
Al Andalus,72
Al Aqiq,323
Al Aziziyah,148
Al Badi'ah,28
Al Bariah,65
Al Fayha,105
Al Fakhiriyah,3
Al Falah,65
Al Faruq,4
Al Ghadir,50
Al Hada,23
Al Hamra,181
Al Hazm,145
Al Iskan,17
Al Izdihar,87
Al Jazirah,62
Al Khalidiyah,5
Al Khaleej,869
Al Khuzama,17
Al Mathar Ash Shamali,22
Al Mahdiyah,43
Al Maizilah,53
Al Malaz,122
Al Malqa,12
Al Manar,27
Al Mansurah,17
Al Marwah,26
Al Masif,102
Al Mughrizat,52
Al Muhammadiyah,15
Al Murabba,39
Al Mursalat,13
Al Muruj,94
Al Mutamarat,3
Al Qadisiyah,197
Al Quds,113
Al Olaya,79
Al Uraija,70
Al Wadi,303
Al Wahah,28
Al Wazarat,18
Al Wisham,11
Al Wurud,53
Al Yamamah,51
Al Yarmuk,625
Al Yasmin,754
An Nada,34
An Nafl,213
An Nahdah,313
An Nakhil,93
An Narjis,345
An Nasim,460
An Nadhim,62
An Nuzhah,63
Ar Rabi,92
Ar Rabwah,38
Ar Rafiah,28
Ar Rahmaniyah,11
Ar Raid,47
Ar Rawabi,84
Ar Rawdah,76
Ar Rayyan,64
As Saadah,221
As Safa,6
As Sahafah,325
As Salam,193
As Sulai,219
As Sulimaniyah,106
As Suwaidi ,97
Ash Shifa,55
At Taawun,93
Az Zahrah,28
Badr,146
Hittin,56
Dhahrat Laban,1100
Alawali,121
Dirab,75
Ghirnatah,128
Ulaishah,74
Irqah,181
Ishbiliyah,583
Khashm Al An,83
King Abdul Aziz,150
King Abdullah,22
King Fahd,22
King Faisal,164
King Saud University,3
Laban,60
Namar,14
Qurtubah,783
Salah Ad Din,14
Shubra,33
Sultanah,17
Tuwaiq,481
Uhud,24
Umm Al Hamam Al Gharbi,111
Ukaz,112
Utaiqah,53
